domain,name,type,title,title_t,help,help_t
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,templateModel,field,,模型模板,,
